"イキタイ","サ活","サウナ飯","ターゲット","市区町村","施設名","施設タイプ","住所","TEL","HP","定休日","営業時間","料金","URL","CREATE_AT"
"9136","18633","1313","対象：男女","静岡県 静岡市","サウナしきじ","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 静岡市 駿河区敷地2-25-1","054-237-5537","http://www.saunashikiji.jp/","無休","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","<男性>\n平日1,400円 / 土日祝日1,600円\nメンズ・タイムサービス 900円 (毎日 6:00～9:00, 17:00～2:00)\n回数券14,000円(11枚) ※館内着, タオル含む\n<女性>\n1日900円 *館内着, タオル含む\nレディースエコサービス 500円(1時間入浴) *館内着, タオル等はつかない\n<深夜宿泊料金>\n深夜2時～翌朝10時まで\n※24時消灯\n月～金 1,400円 / 土日祭日 1,600円\n*入浴料+宿泊料金\n*深夜清掃で入浴できない時間帯あり","https://sauna-ikitai.com/saunas/2779","2022/08/09 22:25:40"
"8241","29209","3406","男性専用","東京都 台東区","サウナ&カプセルホテル 北欧","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 台東区 上野7-2-16","03-3845-8000","https://www.saunahokuou.com/","年中無休　臨時休業有り","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","■完全予約制 3時間2,000円\n（3時間以降延長料金一律800円で23:00まで滞在可能）\nhttps://select-type.com/rsv/?id=QGIbEG9eAVA\n\n■早朝サウナ5:00～10:00(予約なしでOK)　3時間1,400円(土日祝日はプラス200円)\n10:00~12:00までお風呂場清掃の為、サウナ・お風呂使用不可","https://sauna-ikitai.com/saunas/88","2022/08/09 22:25:43"
"7661","23624","1579","男性専用","東京都 豊島区","サウナ&ホテル かるまる 池袋店","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 豊島区 池袋2-7-7 6Fフロント入口(3F〜10F)","03-3986-3726","https://karumaru.jp/ikebukuro/","年中無休","11:00〜翌10:00\n※風呂利用は9:00まで（清掃のため）\n※深夜2〜4時10F岩風呂マス風呂\nおよび露天コーナー清掃","1時間　1,480円\n一般　2,980円\n会員　2,480円\n朝風呂　1,980円（4:00〜9:30）\n\n深夜割増　+1,980円（00:00-4:00)\n金曜日割増　+480円\n休日割増（土日祝・特定日）　+980円\n\n仕組みとしては一時間で出れば一時間コースになり、それ以降いると自動的に一般料金に切り替わるようです。\n月１程度でレディスデーあり","https://sauna-ikitai.com/saunas/6656","2022/08/09 22:25:47"
"7360","62000","4720","対象：男女","埼玉県 草加市","湯乃泉 草加健康センター","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 草加市 北谷2-23-23","048-941-2619","http://www.yunoizumi.com/souka/","年中無休","営業時間：10:00～翌朝8:00\n入浴時間：10:00～1:30 / 5:00～7:30","2022.7.1から\n\n・平日　タオルなし900円　館内着・タオルセット・リクライニングシート付き1600円\n・土日祝　タオルなし1100円　館内着・タオルセット・リクライニングシート付き1800円\n・朝風呂　平日700円　土日祝800円 (5時～8時) 館内着タオル無し\n\n・8：30から入館できる先行入館パック\n平日2100円　土日祝2500円（館内着・タオルセット・リクライニングシート付き）\n\n※他はHP参照","https://sauna-ikitai.com/saunas/1523","2022/08/09 22:25:51"
"6891","30851","2323","対象：男女","神奈川県 横浜市","スカイスパYOKOHAMA","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 西区高島2-19-12 スカイビル14F","045-461-1126","http://www.skyspa.co.jp/","年中無休","24時間営業\n※浴室清掃 8:30-10:30","【一般入浴】2,450円(平日）／2,950円(土日祝)\n【早朝料金】朝5:00～7:59までの入場で最大12時まで滞在可能 1,850円\n【スピード入浴】2,050円(2時間) / 1,450円(1時間)\n【学生】要学生証提示 1,850円\n【入浴回数券 6枚綴り】11,850円(平日) / 12,900円(全日)\n「サウナ・スパ健康アドバイザー資格証」カードの提示で通常料金から350円引き","https://sauna-ikitai.com/saunas/2215","2022/08/09 22:25:54"
"6453","10966","948","対象：男女","熊本県 熊本市","サウナと天然温泉 湯らっくす","温浴施設（スーパー銭湯・サウナ・スパ施設）","熊本県 熊本市 中央区本荘町722","096-362-1126","http://www.yulax.info/","年中無休\n（AM8:00〜10:00は清掃のため浴場利用不可）","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業\n（AM8:00〜10:00は清掃の為浴場には入れません）","・入浴料金：大人790円 (県内)/大人990円(県外)/ 小人300円（浴室利用のみ）\n・湯らっくすコース：大人1300円 / 小人300円\n週末料金（土日祝）：大人1500円 / 小人300円\n小人はロッカー無、別途500円、小人館内着200円\n・深夜料金：1500円(午前1時～午前5時)\n週末深夜料金(土日祝):1800円\n・時間制（館内着、タオル込）180分 / 980円\n・一階脱衣所のコインロッカー利用は10円必要。スーツ用のロッカーは100円必要。","https://sauna-ikitai.com/saunas/4044","2022/08/09 22:25:57"
"6321","14464","503","男性専用","東京都 渋谷区","天空のアジト マルシンスパ","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 渋谷区 笹塚1-58-6 マルシンビル10F","03-3376-5225","http://marushinspa.jp/","不定期（前は毎月第一月曜日が多かった）\n元旦（設備メンテナンスのため臨時休業する場合あり）\nTwitterで情報提供しています","平日　10:00〜翌8:00\n土日祝　9:00〜翌8:00","平日ショート(開店～17:59 ２時間)1,800円\n平日ショート(18時～閉店 ２時間)2,200円\n土日祝日ショート(ALL２時間)2,400円\n\n平日ロング(開店～17:59 ４時間)2,200円\n平日ロング(18時～閉店 ４時間)2,600円\n土日祝日ロング(４時間)2,800円\n\n深夜料金(0時～4時ステイ)1,100円\n\nナイトプラン平日（22時〜翌8時）3,900円+深夜料金\nナイトプラン土日祝日(22時～翌8時)4,100円+深夜料金","https://sauna-ikitai.com/saunas/1873","2022/08/09 22:26:01"
"6229","11665","682","対象：男女","東京都 墨田区","黄金湯","銭湯（公衆浴場）","東京都 墨田区 太平4-14-6","03-3622-5009","http://koganeyu.com/","第二・第四月曜日","平日・日曜・祝日:6:00〜9:00/11:00〜24:30\n土曜:6:00～9:00/15:00〜24:30","入浴料:大人500円（1時間30分）、中学生400円、小学生200円、幼児100円\nサウナ（平日）女性 +300円 / 男性 +500円（+1時間）\nサウナ（土日）女性 +350円 / 男性 +550円（+1時間）\nレンタルタオルセット:200円\nレンタルタオル小:70円\nレンタルタオル大:130円","https://sauna-ikitai.com/saunas/9134","2022/08/09 22:26:05"
"6090","9014","263","対象：男女","東京都 渋谷区","改良湯","銭湯（公衆浴場）","東京都 渋谷区 東2-19-9 金山ビル","03-3400-5782","https://kairyou-yu.com/","土曜日\n臨時休業等の情報はTwitterで告知\nhttps://twitter.com/kairyouyu1916","平日　13:00〜24:00\n日・祝　12:00〜23:00","入浴料500円\nサウナ料金450円（大小タオルセット付き）\n（ICカード、PAYPAY利用可）","https://sauna-ikitai.com/saunas/1934","2022/08/09 22:26:08"
"5639","3677","338","対象：男女","長野県 上水内郡信濃町","The Sauna","温浴施設（スーパー銭湯・サウナ・スパ施設）","長野県 上水内郡信濃町 野尻379-2 ゲストハウスLAMP野尻湖併設","026-258-2978","https://lamp-guesthouse.com/","月曜、火曜\n※ 祝日は営業","1号棟(ユクシ)\n【第1部】 10:00 - 12:00\n【第2部】 12:30 - 14:30\n【第3部】 15:00 - 17:00\n【第4部】 17:30 - 19:30\n【第5部】 20:00 - 22:00\n\n2号棟(カクシ)\n【第1部】 9:00 - 11:00\n【第2部】 11:30 - 13:30\n【第3部】 14:00 - 16:00\n【第4部】 16:30 - 18:30\n【第5部】 19:00 - 21:00","【2021年10月以降の新料金】\n\n1号棟ユクシ・2号棟カクシ\n-通常料金\n1人 2,500円（税込）\n\nPayPay使用可\n\n3号棟コルメ・4号棟ネリャ\n貸切料金\n平日：貸切料金 24,000円（税込）\n休日：貸切料金 27,000円（税込）","https://sauna-ikitai.com/saunas/5357","2022/08/09 22:26:11"
